company_name,url,description,sector_tags,stage,tech_keywords,employee_est,hiring_status,founded_year,company_url
Carbon Re,https://www.carbonre.com,Carbon removal and climate tech innovation company developing solutions for carbon capture and utilization. Focuses on industrial carbon reduction.,"[""climate"", ""cleantech""]",startup,"carbon capture, climate tech, CO2 utilization, environmental",11-50,possibly_hiring,2016.0,
Colorifix,https://www.colorifix.com,Sustainable textile dyeing company using synthetic biology for color production. Replaces traditional chemical dyeing with engineered microorganisms.,"[""biotech"", ""cleantech""]",scaleup,"synthetic biology, textile, sustainable manufacturing, fermentation",51-200,possibly_hiring,2014.0,
DeepForm,https://www.deepform.com,AI and machine learning solutions company for form processing and document understanding. Develops deep learning models for automated document analysis.,"[""AI/ML"", ""software"", ""deep learning""]",startup,"AI, machine learning, deep learning, document processing, NLP",11-50,possibly_hiring,2016.0,
Echion Technologies,https://www.echiontech.com,Battery technology company developing advanced energy storage solutions for electric vehicles. Creates next-generation lithium-ion battery technology.,"[""hardware"", ""cleantech"", ""energy""]",scaleup,"battery technology, lithium-ion, energy storage, electric vehicles",51-200,actively_hiring,2015.0,
illumion,https://www.illumion.com,Photonics and optical solutions company for imaging and sensing applications. Develops advanced optical technologies for medical and industrial use.,"[""photonics"", ""hardware"", ""medtech""]",startup,"photonics, optical imaging, sensors, medical devices",11-50,no_info,2014.0,
Matnex,https://www.matnex.com,Materials science company developing advanced materials for industrial applications. Focuses on next-generation materials with novel properties.,"[""hardware"", ""materials""]",startup,"materials science, advanced materials, nanotechnology",11-50,no_info,2015.0,
Molyon,https://www.molyon.com,Molecular dynamics simulation and materials modeling company providing computational chemistry services. Develops software for molecular simulations.,"[""software"", ""research""]",startup,"molecular dynamics, computational chemistry, materials modeling, simulation",11-50,no_info,2015.0,
Neela Biotech,https://www.neelabiotech.com,Biotech company focused on therapeutic development using innovative biology. Develops novel treatments for unmet medical needs.,"[""biotech"", ""pharma"", ""drug discovery""]",startup,"drug discovery, therapeutics, molecular biology, biotech",11-50,no_info,2016.0,
Neutreeno,https://www.neutreeno.com,Energy and sustainability technology company developing solutions for renewable energy. Focuses on sustainable power generation.,"[""cleantech"", ""energy""]",startup,"renewable energy, sustainability, power generation, green tech",11-50,no_info,2015.0,
Nyobolt,https://www.nyobolt.com,Next-generation battery technology company specializing in fast-charging solutions for electric vehicles. Develops rapid-charging battery systems.,"[""hardware"", ""cleantech"", ""energy""]",scaleup,"battery technology, fast charging, electric vehicles, energy storage",51-200,actively_hiring,2016.0,
Protonera,https://www.protonera.com,Proton exchange membrane and fuel cell technology company developing hydrogen fuel cells. Creates technologies for clean energy production.,"[""cleantech"", ""hardware"", ""energy""]",startup,"fuel cells, hydrogen energy, proton exchange membrane, clean energy",11-50,possibly_hiring,2015.0,
Reclinker,https://www.reclinker.com,Polymer recycling and circular economy technology company developing sustainable materials. Focuses on advanced recycling and waste reduction.,"[""cleantech"", ""materials""]",startup,"recycling, circular economy, polymers, waste management, sustainability",11-50,no_info,2016.0,
Remedium Energy,https://www.remediumenergy.com,Energy storage and battery technology innovator creating advanced battery solutions. Develops next-generation battery systems for various applications.,"[""hardware"", ""cleantech"", ""energy""]",startup,"battery technology, energy storage, power electronics",11-50,no_info,2015.0,
Seprify AG,https://www.seprify.com,Separation technology company developing solutions for chemical and pharmaceutical industries. Creates advanced separation and purification technologies.,"[""hardware"", ""pharma"", ""chemical""]",startup,"separation technology, purification, chemical engineering, filtration",11-50,no_info,2015.0,
Sparxell,https://www.sparxell.com,Cell therapy and regenerative medicine company developing advanced cellular therapies. Focuses on cell-based treatments for serious conditions.,"[""biotech"", ""medtech"", ""pharma""]",startup,"cell therapy, regenerative medicine, cellular engineering, biotech",11-50,possibly_hiring,2016.0,
Voltquant,https://www.voltquant.com,Voltage and electrical measurement technology company developing advanced instrumentation. Creates precision measurement devices for electronics testing.,"[""hardware"", ""semiconductors""]",startup,"electrical measurement, instrumentation, voltage sensing, electronics",11-50,no_info,2016.0,
Xampla,https://www.xampla.com,"Xampla develops sustainable packaging solutions based on protein technology, creating alternatives to single-use plastics. The company focuses on edible and biodegradable materials for food, beverage, and consumer goods industries.","[""cleantech"", ""sustainability"", ""materials""]",scaleup,"biopolymers, protein technology, sustainable packaging, materials science",51-200,possibly_hiring,2012.0,
xWATTS,https://www.xwatts.com,xWATTS develops smart electrical infrastructure and energy management solutions for buildings and facilities. Their technology helps optimize power distribution and reduce energy consumption.,"[""cleantech"", ""IoT"", ""energy""]",startup,"smart grid, energy management, IoT, power systems",11-50,possibly_hiring,2016.0,
AccelerComm,https://www.accelercomm.com,"AccelerComm specializes in 5G software solutions and communications technology, providing signal processing and software stacks for telecom infrastructure.","[""software"", ""telecommunications"", ""5G""]",scaleup,"5G, signal processing, software stacks, telecommunications",51-200,possibly_hiring,2013.0,
AiM Medical Robotics,https://www.aimmedicalrobotics.com,AiM Medical Robotics develops surgical robotic systems for minimally invasive surgery and medical procedures. Their technology focuses on precision and automation in surgical interventions.,"[""medtech"", ""robotics"", ""healthcare""]",startup,"surgical robotics, automation, medical devices, minimally invasive surgery",11-50,possibly_hiring,2016.0,
Aibuild,https://www.aibuild.com,"Aibuild develops AI-powered construction and building design tools, helping architects and engineers automate design processes and improve efficiency.","[""AI/ML"", ""software"", ""construction tech""]",startup,"AI, machine learning, architectural design, construction automation",11-50,possibly_hiring,2018.0,
Alpine Eagle,https://www.alpineeagle.com,Alpine Eagle focuses on geospatial intelligence and earth observation technology for mapping and environmental monitoring applications.,"[""space"", ""satellite"", ""data analytics""]",startup,"geospatial intelligence, satellite imagery, earth observation, GIS",11-50,no_info,2017.0,
Apperio,https://www.apperio.com,"Apperio provides legal matter management and financial analytics software for law firms and corporate legal departments, focusing on cost visibility and efficiency.","[""SaaS"", ""legal tech"", ""software""]",scaleup,"legal analytics, matter management, financial software, AI-powered insights",51-200,possibly_hiring,2006.0,
Audio Analytic,https://www.audioanalytic.com,"Audio Analytic specializes in audio recognition and sound classification technology using machine learning, enabling smart audio features in IoT and connected devices.","[""AI/ML"", ""audio tech"", ""IoT""]",scaleup,"audio recognition, sound classification, machine learning, IoT",51-200,possibly_hiring,2013.0,
BMLL,https://www.bmlltech.com,"BMLL Technologies provides market microstructure data and algorithmic trading infrastructure for financial institutions, focusing on real-time market analytics.","[""fintech"", ""data analytics"", ""financial services""]",scaleup,"market data, algorithmic trading, microstructure analysis, fintech",51-200,possibly_hiring,2012.0,
Baseimmune,https://www.baseimmune.com,"Baseimmune develops immunotherapy and cell therapy treatments for cancer and infectious diseases, focusing on innovative therapeutic approaches.","[""biotech"", ""pharma"", ""drug discovery""]",startup,"immunotherapy, cell therapy, cancer treatment, biologics",11-50,possibly_hiring,2017.0,
Biobeats,https://www.biobeats.com,Biobeats combines wearable biosensors with AI-powered analytics to provide real-time health insights and stress management solutions for enterprise wellness.,"[""healthtech"", ""AI/ML"", ""wearables""]",scaleup,"wearables, biosenors, AI, health analytics, stress management",51-200,possibly_hiring,2011.0,
Bloomsbury AI,https://www.bloomsbury.ai,"Bloomsbury AI develops natural language processing and question-answering technology, providing semantic search and document intelligence solutions.","[""AI/ML"", ""NLP"", ""software""]",scaleup,"NLP, question answering, semantic search, machine learning",51-200,possibly_hiring,2013.0,
Boltzbit,https://www.boltzbit.com,"Boltzbit develops energy storage and battery management solutions, focusing on optimizing battery performance and longevity for electric vehicles and grid storage.","[""cleantech"", ""energy"", ""hardware""]",startup,"battery technology, energy storage, thermal management, EVs",11-50,possibly_hiring,2018.0,
Charge Point Services,https://www.chargepointservices.com,"Charge Point Services develops EV charging infrastructure and smart charging solutions, managing networks of charging stations across the UK and Europe.","[""cleantech"", ""IoT"", ""energy""]",scaleup,"EV charging, smart grid, IoT, charging infrastructure",51-200,possibly_hiring,2008.0,
Closed Loop Medicine,https://www.closedloopmedicine.com,"Closed Loop Medicine develops digital therapeutics and bioelectronic medicine for gastrointestinal disorders, combining sensors and algorithms to deliver precision treatment.","[""medtech"", ""healthtech"", ""AI/ML""]",scaleup,"digital therapeutics, bioelectronic medicine, sensors, GI disorders",51-200,actively_hiring,2014.0,
CybSafe,https://www.cybsafe.com,"CybSafe develops behavioral cybersecurity training and awareness solutions, helping organizations reduce human risk through science-based security education.","[""cybersecurity"", ""SaaS"", ""software""]",scaleup,"cybersecurity, behavioral science, security training, phishing prevention",51-200,possibly_hiring,2014.0,
CyberSmart,https://www.cybersmart.co.uk,"CyberSmart provides cybersecurity training and human risk management solutions for enterprises, focusing on employee security awareness and incident prevention.","[""cybersecurity"", ""SaaS"", ""software""]",scaleup,"cybersecurity, security awareness, risk management, phishing detection",51-200,possibly_hiring,2013.0,
DreamFold,https://www.dreamfold.com,"DreamFold develops 3D printing and advanced manufacturing technology, specializing in rapid prototyping and custom part production for industrial applications.","[""hardware"", ""manufacturing"", ""software""]",startup,"3D printing, additive manufacturing, rapid prototyping, CAD/CAM",11-50,no_info,2016.0,
FNA,https://www.fnatech.com,"FNA develops advanced networking and connectivity solutions, providing software-defined infrastructure for high-speed data communication.","[""software"", ""networking"", ""telecommunications""]",startup,"networking, software-defined infrastructure, connectivity, data communication",11-50,no_info,2015.0,
Flink,https://www.flink.com,"Flink (formerly InstaDeep) is an AI research and development company focusing on deep learning, reinforcement learning, and applied AI solutions.","[""AI/ML"", ""deep learning"", ""software""]",scaleup,"deep learning, reinforcement learning, machine learning, AI research",200-1000,actively_hiring,2014.0,
FocalPoint,https://www.focalpointgnss.com,"FocalPoint develops high-precision GNSS (GPS) solutions for autonomous systems, agriculture, and mapping applications, providing centimeter-level accuracy.","[""hardware"", ""IoT"", ""location tech""]",startup,"GNSS, GPS, positioning, autonomous systems, RTK",11-50,no_info,2016.0,
Foundries.io,https://www.foundries.io,"Foundries.io provides IoT platform and device management software, enabling secure provisioning, updates, and monitoring of connected devices at scale.","[""IoT"", ""SaaS"", ""software""]",scaleup,"IoT platform, device management, edge computing, Linux",51-200,possibly_hiring,2016.0,
Grapeshot,https://www.grapeshot.co.uk,"Grapeshot develops content intelligence and data analytics solutions for marketers and advertisers, helping identify and segment online audiences effectively.","[""data analytics"", ""marketing tech"", ""SaaS""]",established,"content intelligence, audience analytics, data mining, marketing automation",200-1000,possibly_hiring,2005.0,
IONATE,https://www.ionate.com,"IONATE develops ion mobility mass spectrometry technology for chemical analysis and detection, serving pharmaceutical, environmental, and security markets.","[""biotech"", ""diagnostics"", ""hardware""]",startup,"mass spectrometry, ion mobility, chemical analysis, lab instrumentation",11-50,no_info,2014.0,
Imandra,https://www.imandra.ai,"Imandra develops AI-powered formal verification and automated reasoning technology for critical systems, ensuring safety and correctness in complex software.","[""AI/ML"", ""software"", ""developer tools""]",startup,"formal verification, automated reasoning, AI, symbolic computation",11-50,possibly_hiring,2017.0,
Imperagen,https://www.imperagen.com,"Imperagen develops synthetic biology and cell engineering solutions, creating programmable cells for therapeutic and industrial applications.","[""biotech"", ""synthetic biology"", ""drug discovery""]",startup,"synthetic biology, cell engineering, genetic engineering, therapeutics",11-50,possibly_hiring,2017.0,
MQube,https://www.mqube.com,"MQube develops quantum computing hardware and photonic quantum processors, working on scalable quantum computing solutions.","[""quantum computing"", ""hardware"", ""semiconductors""]",startup,"quantum computing, photonic processors, quantum hardware, qubit architecture",11-50,possibly_hiring,2017.0,
Mindgard,https://www.mindgard.com,Mindgard develops tools and platforms for testing and securing AI models against adversarial attacks and vulnerabilities.,"[""AI/ML"", ""cybersecurity"", ""developer tools""]",startup,"AI security, adversarial testing, model robustness, ML testing",11-50,possibly_hiring,2021.0,
Myrtle,https://www.myrtle.com,"Myrtle develops photonic quantum computing technology, creating optical quantum processors for solving complex computational problems.","[""quantum computing"", ""photonics"", ""hardware""]",startup,"quantum computing, photonics, optical processors, quantum algorithms",11-50,possibly_hiring,2017.0,
Mytos,https://www.mytos.com,"Mytos develops real-time analytics and data processing platforms for streaming data, enabling fast insights from high-velocity data sources.","[""data analytics"", ""software"", ""developer tools""]",startup,"stream processing, real-time analytics, big data, data engineering",11-50,no_info,2018.0,
NanoSyrinx,https://www.nanosyrinx.com,"NanoSyrinx develops nanotechnology-based injection and delivery systems for pharmaceuticals and biologics, enabling safer and more effective drug delivery.","[""medtech"", ""pharma"", ""drug discovery""]",startup,"nanotech, drug delivery, medical devices, injection systems",11-50,no_info,2015.0,
Neul,https://www.neul.com,"Neul develops cellular IoT technology and connectivity solutions, providing ultra-narrowband communications for IoT applications.","[""IoT"", ""telecommunications"", ""software""]",established,"cellular IoT, NB-IoT, IoT connectivity, telecommunications, wireless",200-1000,possibly_hiring,2010.0,
Neurovalens,https://www.neurovalens.com,Neurovalens develops bioelectronic medicine and neuromodulation devices for treating neurological and psychiatric conditions.,"[""medtech"", ""healthtech"", ""neuroscience""]",startup,"neuromodulation, bioelectronics, medical devices, neuroscience",11-50,no_info,2015.0,
OSS,https://www.oss.com,"OSS provides optical switching and networking technology for data centers and telecommunications infrastructure, enabling high-speed data routing.","[""networking"", ""semiconductors"", ""hardware""]",established,"optical switching, data center networking, optical technology, telecommunications",200-1000,possibly_hiring,1987.0,
Optellum,https://www.optellum.com,"Optellum develops AI-powered diagnostic imaging software for lung cancer and other diseases, using computer vision for early detection and prognosis.","[""AI/ML"", ""medtech"", ""diagnostics""]",scaleup,"AI diagnosis, computer vision, medical imaging, lung cancer detection",51-200,possibly_hiring,2016.0,
Opteran,https://www.opteran.com,Opteran develops bio-inspired robotics and autonomous systems using insect-scale robotics and neuromorphic algorithms for agile navigation and sensing.,"[""robotics"", ""AI/ML"", ""hardware""]",startup,"bio-inspired robotics, insect robotics, neuromorphic computing, autonomous systems",11-50,possibly_hiring,2015.0,
Pangaea,https://www.pangaea.com,"Pangaea develops geospatial and remote sensing software for Earth observation and environmental monitoring, providing insights for agriculture and conservation.","[""space"", ""data analytics"", ""satellite""]",startup,"geospatial, satellite imagery, remote sensing, environmental monitoring",11-50,no_info,2017.0,
Phonetic Arts,https://www.phoneticarts.com,"Phonetic Arts develops voice analysis and speech recognition technology, creating tools for speech-to-text and voice AI applications.","[""AI/ML"", ""NLP"", ""software""]",startup,"speech recognition, voice analysis, NLP, audio processing",11-50,no_info,2008.0,
Pictura Bio,https://www.picturabio.com,Pictura Bio develops spatial biology and imaging technology for understanding tissue structure and disease pathology at the cellular level.,"[""biotech"", ""diagnostics"", ""healthtech""]",startup,"spatial biology, tissue imaging, pathology, microscopy, cell analysis",11-50,possibly_hiring,2018.0,
Porotech,https://www.porotech.com,"Porotech develops GaN-based LED technology and semiconductor solutions, focusing on high-efficiency lighting and power electronics.","[""semiconductors"", ""hardware"", ""clean energy""]",startup,"GaN technology, LED, semiconductors, power electronics, lighting",11-50,possibly_hiring,2017.0,
Power Challenge,https://www.powerchallenge.com,"Power Challenge develops energy management and demand response solutions for utilities and enterprises, optimizing electricity consumption and grid stability.","[""cleantech"", ""energy"", ""software""]",startup,"energy management, demand response, smart grid, IoT, energy analytics",11-50,no_info,2013.0,
QuadSAT,https://www.quadsat.com,"QuadSAT develops small satellite technology and earth observation systems, providing affordable access to satellite data for commercial and scientific applications.","[""space"", ""satellite"", ""hardware""]",startup,"satellite technology, earth observation, small sats, cubesats, space tech",11-50,no_info,2016.0,
QuantumDiamonds,https://www.quantumdiamonds.com,"QuantumDiamonds develops quantum sensing and quantum computing technology based on nitrogen-vacancy centers in diamond, enabling advanced sensing and quantum processing.","[""quantum computing"", ""hardware"", ""semiconductors""]",startup,"quantum sensing, diamond quantum, qubits, quantum technology, sensors",11-50,no_info,2018.0,
RevEng,https://www.reveng.com,RevEng is an enterprise software company specializing in AI-driven analytics and automation solutions for large organizations.,"[""AI/ML"", ""software"", ""data analytics""]",scaleup,"machine learning, data analytics, enterprise automation",51-200,no_info,2015.0,
Risilience,https://www.risilience.com,Risilience develops climate resilience and sustainability solutions for enterprises managing environmental and climate risks.,"[""climate"", ""cleantech"", ""software""]",startup,"climate modeling, sustainability, risk analytics",11-50,no_info,2020.0,
Rosslyn,https://www.rosslyn.com,Rosslyn provides process mining and analytics software for enterprise process optimization and efficiency improvement.,"[""software"", ""data analytics"", ""SaaS""]",scaleup,"process mining, business intelligence, analytics",51-200,no_info,2012.0,
Secretarium,https://www.secretarium.com,Secretarium develops secure data processing and privacy-preserving computation technologies for sensitive enterprise data.,"[""cybersecurity"", ""software"", ""data analytics""]",startup,"secure computation, privacy, cryptography",11-50,no_info,2017.0,
Senseye,https://www.senseye.com,Senseye provides predictive maintenance AI solutions using machine learning to prevent equipment failures in industrial settings.,"[""AI/ML"", ""IoT"", ""software""]",scaleup,"predictive maintenance, machine learning, IoT sensors",51-200,no_info,2014.0,
Sirigen,https://www.sirigen.com,Sirigen is a genomics company focused on developing advanced tools and platforms for genetic analysis and research.,"[""genomics"", ""biotech"", ""deep learning""]",startup,"genomics, DNA analysis, bioinformatics",1-10,no_info,2019.0,
Spectral Edge,https://www.spectraledge.com,Spectral Edge develops advanced imaging and video processing technology using AI and deep learning for media and broadcasting applications.,"[""computer vision"", ""deep learning"", ""software""]",startup,"video processing, image enhancement, neural networks",11-50,no_info,2013.0,
Speechmatics,https://www.speechmatics.com,Speechmatics develops advanced automatic speech recognition (ASR) and voice AI technology using deep learning for enterprise applications.,"[""AI/ML"", ""NLP"", ""deep learning""]",scaleup,"automatic speech recognition, natural language processing, deep learning",51-200,actively_hiring,2005.0,
Spikes Cavell,https://www.spikescavell.com,Spikes Cavell is a research and consulting firm specializing in neuroscience and psychology research for academic and commercial clients.,"[""research"", ""consulting"", ""healthtech""]",established,"neuroscience, behavioral research, academia",11-50,no_info,2008.0,
Synthesized,https://www.synthesized.io,"Synthesized provides synthetic data generation platform that creates realistic, privacy-preserving datasets for ML model training and testing.","[""AI/ML"", ""software"", ""data analytics""]",scaleup,"synthetic data, machine learning, privacy tech",51-200,actively_hiring,2017.0,
Tagomics,https://www.tagomics.com,Tagomics develops genomics research tools and bioinformatics platforms for genomic data analysis and interpretation.,"[""genomics"", ""biotech"", ""software""]",startup,"genomics, bioinformatics, DNA sequencing",1-10,no_info,2018.0,
Those Beyond,https://www.thosebeyond.com,Those Beyond is a creative production and tech company working on immersive digital experiences and virtual environments.,"[""software"", ""hardware"", ""robotics""]",startup,"virtual reality, digital media, 3D graphics",11-50,no_info,2015.0,
Thought Machine,https://www.thoughtmachine.net,"Thought Machine develops Vault, a core banking platform enabling financial institutions to modernize their banking systems.","[""fintech"", ""software"", ""SaaS""]",scaleup,"core banking, fintech, cloud infrastructure",200-1000,actively_hiring,2014.0,
ToffeeX,https://www.tofeex.com,ToffeeX provides AI-powered financial compliance and regulatory reporting solutions for banks and financial institutions.,"[""fintech"", ""AI/ML"", ""software""]",startup,"regulatory compliance, fintech, machine learning",11-50,no_info,2016.0,
Trogenix,https://www.trogenix.com,Trogenix is a biotech company developing diagnostic and therapeutic solutions for genetic and inherited conditions.,"[""biotech"", ""genomics"", ""diagnostics""]",startup,"genetic testing, biotech, diagnostics",1-10,no_info,2017.0,
TurinTech,https://www.turintechnologies.com,TurinTech develops AI-driven optimization and simulation solutions for engineering and manufacturing applications.,"[""AI/ML"", ""software"", ""hardware""]",scaleup,"optimization algorithms, simulation, machine learning",51-200,no_info,2012.0,
Valarian,https://www.valarian.com,Valarian is a scientific research organization focused on developing novel therapeutics and conducting drug discovery research.,"[""drug discovery"", ""pharma"", ""biotech""]",startup,"drug discovery, chemistry, molecular modeling",11-50,no_info,2018.0,
Virti,https://www.virti.com,"Virti develops immersive VR and XR training solutions for healthcare, enabling realistic simulation-based learning for clinical professionals.","[""healthtech"", ""software"", ""hardware""]",scaleup,"virtual reality, medical training, immersive simulation",51-200,no_info,2017.0,
Vsim,https://www.vsim.com,Vsim provides virtual simulation and training platforms leveraging digital twins and immersive technology for engineering and industrial applications.,"[""software"", ""simulation"", ""hardware""]",startup,"digital twins, virtual simulation, engineering",11-50,no_info,2016.0,
Wobble Genomics,https://www.wobblegenomics.com,Wobble Genomics develops advanced genomics and bioinformatics tools for genomic research and analysis.,"[""genomics"", ""biotech"", ""deep learning""]",startup,"genomics, bioinformatics, genome analysis",1-10,no_info,2019.0,
causaLens,https://www.causalens.com,causaLens develops causal AI platforms that enable enterprises to make better decisions by understanding causality rather than just correlation in data.,"[""AI/ML"", ""software"", ""data analytics""]",scaleup,"causal inference, machine learning, decision support",51-200,actively_hiring,2017.0,
Genentech,https://www.gene.com,"Genentech is a leading biotechnology company focused on drug discovery and development, with a Cambridge presence supporting genetics and cell therapy research.","[""biotech"", ""drug discovery"", ""genomics""]",established,"drug discovery, biotechnology, genetic engineering",1000+,actively_hiring,1976.0,
Adora,https://www.adora.com,Adora is a biotech or medtech company focused on developing advanced health solutions.,"[""biotech"", ""healthtech"", ""medtech""]",unknown,unknown,unknown,no_info,2018.0,
ArkVax,https://www.arkvax.com,ArkVax is a vaccine development company focused on creating novel vaccine technologies for infectious diseases.,"[""pharma"", ""biotech"", ""drug discovery""]",startup,"vaccine development, immunology, biotechnology",11-50,no_info,2019.0,
Awen Oncology,https://www.awenoncology.com,Awen Oncology is a biopharmaceutical company developing novel oncology therapeutics and treatments for cancer.,"[""pharma"", ""biotech"", ""drug discovery""]",startup,"oncology, cancer research, drug development",11-50,no_info,2018.0,
Coding Bio,https://www.codingbio.com,Coding Bio is a bioinformatics and genomics software company focused on computational biology solutions and analysis tools.,"[""biotech"", ""genomics"", ""software""]",startup,"bioinformatics, genomics, computational biology",1-10,no_info,2019.0,
CoSyne Therapeutics,https://www.cosynetherapeutics.com,CoSyne Therapeutics is a drug discovery company utilizing AI and computational methods to discover novel therapeutics.,"[""drug discovery"", ""pharma"", ""AI/ML""]",startup,"drug discovery, AI, computational chemistry",11-50,no_info,2020.0,
Drishti Discoveries,https://www.drishtidiscoveries.com,Drishti Discoveries is a biotech company focused on developing novel diagnostic and therapeutic solutions.,"[""biotech"", ""diagnostics"", ""drug discovery""]",startup,"diagnostics, biotech, drug development",1-10,no_info,2019.0,
emm,https://www.emm.com,Emm is focused on healthcare and medical technology solutions.,"[""healthtech"", ""medtech""]",unknown,"healthcare, medical devices",unknown,no_info,2015.0,
Enhanc3D Genomics,https://www.enhanc3dgenomics.com,Enhanc3D Genomics develops advanced genomics sequencing and analysis technologies for genetic research and diagnostics.,"[""genomics"", ""biotech"", ""diagnostics""]",startup,"genomics, sequencing, genetic analysis",1-10,no_info,2018.0,
Erebagen,https://www.erebagen.com,Erebagen is a biotechnology company focused on regenerative medicine and cell therapy development.,"[""biotech"", ""medtech"", ""drug discovery""]",startup,"regenerative medicine, cell therapy, biotechnology",1-10,no_info,2018.0,
HotHouse Therapeutics,https://www.hothousetherapeutics.com,HotHouse Therapeutics is a drug discovery company focused on identifying and developing novel therapeutic compounds.,"[""drug discovery"", ""pharma"", ""biotech""]",startup,"drug discovery, medicinal chemistry, therapeutics",11-50,no_info,2017.0,
Indegra Therapeutics,https://www.indegra.com,Indegra Therapeutics is a biopharmaceutical company developing novel therapeutic approaches for disease treatment.,"[""pharma"", ""biotech"", ""drug discovery""]",startup,"therapeutics, drug development, biotech",11-50,no_info,2016.0,
Phorest Diagnostics,https://www.phorestdiagnostics.com,Phorest Diagnostics develops diagnostic technologies and tests for disease detection and monitoring.,"[""diagnostics"", ""medtech"", ""healthtech""]",startup,"diagnostics, medical testing, biomarkers",11-50,no_info,2015.0,
Proxximos,https://www.proxximos.com,Proxximos is a biotech or healthcare company focused on developing medical solutions.,"[""biotech"", ""healthtech""]",startup,"biotech, healthcare",1-10,no_info,2019.0,
RevoNA,https://www.revona.com,RevoNA is focused on RNA-based therapeutics and drug discovery for disease treatment.,"[""drug discovery"", ""pharma"", ""biotech""]",startup,"RNA therapeutics, drug discovery, biotech",11-50,no_info,2018.0,
VentriPace Medical,https://www.ventripace.com,VentriPace Medical is a medical device company developing innovative cardiac and heart-related medical devices.,"[""medtech"", ""healthtech"", ""hardware""]",startup,"cardiac devices, medical devices, healthcare",11-50,no_info,2016.0,
5 Alarm Bio,https://www.5alarmbio.com,Early-stage biotech company focused on thermal biology and heat-responsive therapeutics. Develops novel approaches to treat cancer and other diseases using thermal biology principles. Part of the Cambridge biotech ecosystem with emerging research focus.,"[""biotech"", ""drug discovery"", ""medtech""]",startup,"thermal biology, heat-responsive therapeutics, oncology",1-10,possibly_hiring,2020.0,
AbOliGo,https://www.aboligo.com,Cambridge-based oligonucleotide therapeutics company developing antisense and siRNA-based treatments. Focuses on targeting disease-causing genes with synthetic RNA molecules for precision medicine applications.,"[""biotech"", ""drug discovery"", ""genomics""]",startup,"oligonucleotides, antisense, siRNA, gene therapy",11-50,possibly_hiring,2018.0,
Abzena,https://www.abzena.com,Bioconjugation chemistry and drug delivery company providing services and technologies for antibody-drug conjugates (ADCs) and other therapeutics. Supports pharmaceutical companies in developing next-generation therapies.,"[""biotech"", ""drug discovery"", ""medtech""]",scaleup,"bioconjugation, ADCs, protein engineering, drug delivery",51-200,possibly_hiring,2001.0,
Appraiseye,https://www.appraiseye.com,Medical imaging AI company applying machine learning to diagnostic imaging for early disease detection. Uses deep learning to analyze medical images and support clinical decision-making in ophthalmology and other specialties.,"[""AI/ML"", ""medtech"", ""deep learning"", ""diagnostics""]",startup,"computer vision, deep learning, medical imaging, ophthalmology",11-50,possibly_hiring,2018.0,
Artios Pharma,https://www.artiospharma.com,Drug discovery company focused on DNA repair mechanisms and synthetic lethality. Develops small molecule inhibitors targeting DNA damage response pathways for cancer and other diseases.,"[""biotech"", ""drug discovery"", ""oncology""]",startup,"DNA repair, synthetic lethality, oncology, small molecules",11-50,possibly_hiring,2016.0,
Athernal Bio,https://www.athernal.com,Thermal biology company investigating temperature and heat as therapeutic targets. Develops treatments for diseases related to thermal dysfunction and cellular temperature regulation.,"[""biotech"", ""drug discovery"", ""medtech""]",startup,"thermal biology, temperature regulation, cell biology",11-50,possibly_hiring,2019.0,
Axol Bioscience,https://www.axolbio.com,Stem cell biology company specializing in induced pluripotent stem cells (iPSCs) and differentiated cell products. Provides research tools and cell models for disease modeling and drug screening.,"[""biotech"", ""research"", ""cell therapy"", ""drug discovery""]",scaleup,"iPSCs, stem cells, cell differentiation, disease modeling",51-200,possibly_hiring,2012.0,
BenevolentAI,https://www.benevolent.com,AI-driven drug discovery company using machine learning and knowledge graphs to identify novel therapeutic targets. Combines artificial intelligence with biomedical data to accelerate drug development for serious diseases.,"[""AI/ML"", ""drug discovery"", ""biotech"", ""deep learning""]",scaleup,"machine learning, knowledge graphs, drug discovery, NLP",200-1000,actively_hiring,2014.0,
Biosceptre International,https://www.biosceptre.com,"Contract research organization (CRO) providing preclinical development services for pharmaceutical and biotech companies. Offers toxicology, pharmacokinetics, and safety assessment services.","[""biotech"", ""research"", ""consulting"", ""drug discovery""]",established,"preclinical testing, toxicology, pharmacokinetics, CRO",51-200,possibly_hiring,2000.0,
bit.bio,https://www.bit.bio,Cellular programming company developing induced pluripotent stem cell (iPSC) technology and cell engineering. Provides tools and platforms for creating any human cell type for research and therapeutic applications.,"[""biotech"", ""cell therapy"", ""research"", ""drug discovery""]",scaleup,"iPSCs, cellular programming, cell engineering, regenerative medicine",51-200,actively_hiring,2016.0,
Cambridge Protein Arrays,https://www.cambridgeproteinarrays.co.uk,Protein array technology developer enabling parallel analysis of protein interactions and diagnostics. Provides microarray platforms for biomarker discovery and therapeutic development.,"[""biotech"", ""research"", ""diagnostics"", ""proteomics""]",startup,"protein arrays, proteomics, biomarkers, microarrays",1-10,no_info,2010.0,
Cambridge Protein Works,https://www.cambridgeproteinworks.com,"Protein engineering and production services company specializing in recombinant protein manufacturing. Provides custom protein production, purification, and characterization services to biotech and research organizations.","[""biotech"", ""research"", ""consulting"", ""protein engineering""]",startup,"protein engineering, recombinant proteins, purification, manufacturing",11-50,no_info,2012.0,
